Date,RUB/USD
07/09/18,62.4023
07/10/18,61.7835
07/11/18,62.379
07/12/18,62.2105
07/13/18,62.5375
07/14/18,62.552
07/15/18,62.479
07/16/18,62.3803
07/17/18,62.6326
07/18/18,63.0118
07/19/18,63.592
07/20/18,62.7398
07/21/18,63.4841
07/22/18,63.344
07/23/18,63.049
07/24/18,63.319
07/25/18,62.7848
07/26/18,62.945
07/27/18,62.5442
07/28/18,62.775
07/29/18,62.667
07/30/18,62.2371
07/31/18,62.517
08/01/18,62.8913
08/02/18,63.3423
08/03/18,63.8555
08/04/18,63.317
08/05/18,63.3806
08/06/18,63.739
08/07/18,63.5055
08/08/18,65.5829
08/09/18,66.6078
08/10/18,67.6124
08/11/18,67.6926
08/12/18,67.8921
08/13/18,67.525
08/14/18,66.2816
08/15/18,67.272
08/16/18,66.819
08/17/18,66.9862
08/18/18,67.0292
08/19/18,67.181
08/20/18,67.1112
08/21/18,67.3068
08/22/18,68.076
08/23/18,68.2105
08/24/18,67.23
08/25/18,67.1653
08/26/18,67.4366
08/27/18,67.358
08/28/18,67.86
08/29/18,68.0741
08/30/18,68.2435
08/31/18,67.4239
09/01/18,67.4779
09/02/18,67.5646
09/03/18,67.8954
09/04/18,68.2624
